,installation_id,airly_sensor,sponsor,elevation,geolocation_latitude,geolocation_longitude,address_country,address_city,address_street,address_number
893,9440,False,Umweltbundesamnt,116.32,51.759516,11.449471,Germany,Aschersleben,Magdeburger Straße,28
894,555,True,"Przychodnia Medycyny Rodzinnej, Sułkowice",278.73,49.854485,19.796059,Poland,Sułkowice,Szkolna,9
895,1078,True,Myślenice,374.37,49.82806,19.887808,Poland,Bysina,,
896,9982,True,Tychy,242.61,50.091093,19.00361,Poland,Tychy,Zgrzebnioka,45
897,984,True,Tychy,253.66,50.087218,19.018775,Poland,Tychy,Jedności,51
898,10052,True,Nawojowa (gmina),356.96,49.560921,20.74453,Poland,Nawojowa,Nawojowa,313
899,8876,True,Oświęcimski Alarm Smogowy,245.76,50.009614,19.288901,Poland,Poręba Wielka,Wadowicka,84
900,778,True,eurobank,419.76,50.808104,16.281485,Poland,Wałbrzych,Janusza Kusocińskiego,5
901,5733,True,Wadowice,351.41,49.910774,19.629179,Poland,Stanisław Górny,,
902,97,False,State Environmental Monitoring Station,249.11,50.099903,18.990236,Poland,Tychy,Sikorskiego,
903,6347,True,Tychy,250.54,50.100337,18.991063,Poland,Tychy,Tołstoja,1
904,9879,True,Zostań ambasadorem tego czujnika,350.9,49.572334,20.723677,Poland,Nowy Sącz,Bystrzycka,52
905,2208,True,Tychy,254.37,50.109204,18.961681,Poland,Tychy,Myśliwska,102
906,6163,True,Stowarzyszenie Płuca Kalwarii,307.72,49.90058,19.671885,Poland,Stanisław Dolny,,
907,8112,True,Miasto Łaziska Górne,294.79,50.136282,18.870679,Poland,Łaziska Górne,Wyrska,4
908,10170,False,European Environment Agency,7.3,52.389166,6.403614,Netherlands,Haarle,Kathuizenweg,2
909,6348,True,Tychy,263.24,50.108991,18.973205,Poland,Tychy,Kurpińskiego,12
910,7992,True,Gmina Sułkowice,339.06,49.854877,19.832711,Poland,Rudnik,Szkolna,55
911,1035,True,Tychy,266.07,50.105781,18.986236,Poland,Tychy,Piłsudskiego,20
912,2538,True,Gmina Wyry,276.48,50.129914,18.903614,Poland,Wyry,Puszkina,10
913,346,True,Airly Ambassador,247.54,50.032735,19.240167,Poland,Oświęcim,Dymitra Mendelejewa,8
914,835,True,eurobank,245.54,50.038386,19.222059,Poland,Oświęcim,Rynek Główny,10
915,6162,True,Stowarzyszenie Płuca Kalwarii,259.84,49.887331,19.732423,Poland,Zarzyce Wielkie,,
916,2632,True,Aviva,239.89,50.040001,19.220565,Poland,Oświęcim,Plac Księdza Jana Skarbka,5
917,6235,True,eurobank,277.42,50.728552,16.651683,Poland,Dzierżoniów,Rynek,48
918,2238,True,Myślenice,325.7,49.832409,19.916924,Poland,Myślenice,3 Maja,56A
919,7874,True,Myślenice,288.5,49.822958,19.949513,Poland,Myślenice,Zdrojowa,9
920,2450,True,Gmina Ornontowice,302.55,50.170746,18.775642,Poland,Ornontowice,Akacjowa,4
921,2562,True,Powiat mikołowski,345.22,50.152562,18.840011,Poland,Łaziska Górne,Fryderyka Chopina,10
922,7993,True,Gmina Sułkowice,259.15,49.872859,19.792356,Poland,Biertowice,,
923,105,False,State Environmental Monitoring Station,266.09,50.732817,16.64805,Poland,Dzierżoniów,Marszałka Józefa Piłsudskiego,26
924,596,True,Myślenice,307.97,49.831848,19.932568,Poland,Myślenice,Dyrektora Stanisława Pardyaka,11
925,6922,True,Tychy,263.5,50.110651,19.000588,Poland,Tychy,aleja Niepodległości,190
926,6351,True,eurobank,265.78,50.115197,18.989158,Poland,Tychy,Grota-Roweckiego,61
927,2161,True,Aviva,300.0,49.833122,19.939915,Poland,Myślenice,Słowackiego,10A
928,9877,True,Zostań ambasadorem tego czujnika,335.62,49.59021,20.71657,Poland,Nowy Sącz,Grunwaldzka,202D
929,614,True,Myślenice,292.02,49.83226,19.946678,Poland,Myślenice,Stefana Batorego,1A
930,2360,True,Aviva,177.84,50.337814,18.199121,Poland,Kędzierzyn-Koźle,Piotra Skargi,21
931,2536,True,Powiat mikołowski,274.99,50.183307,18.762303,Poland,Ornontowice,Zwycięstwa,26A
932,7632,True,Aviva,234.75,50.010048,19.369527,Poland,Przeciszów,Długa,6
933,459,True,Kamionka Wielka (gmina),329.55,49.58535,20.74622,Poland,Jamnica,,
934,8111,True,Miasto Łaziska Górne,324.41,50.154553,18.871806,Poland,Łaziska Górne,Szkolna,4
935,6352,True,Tychy,265.55,50.123637,18.980517,Poland,Tychy,Begonii,5
936,736,True,Tychy,254.5,50.119639,18.999537,Poland,Tychy,Korczaka,6
937,6633,True,Tychy,245.03,50.108274,19.041725,Poland,Tychy,Przejazdowa,8
938,2391,True,Zator,237.51,49.994257,19.432202,Poland,Zator,Słowackiego,15
939,6349,True,Tychy,261.29,50.125579,18.985447,Poland,Tychy,Bukowa,29
940,9876,True,Zostań ambasadorem tego czujnika,282.75,49.608087,20.687326,Poland,Nowy Sącz,Władysława Barbackiego,135
941,2385,True,Tymbark (gmina),448.18,49.723796,20.323739,Poland,Tymbark,,
